Frequency,Nominal,Min,Max
14412.412345810739,0.00040818271874221363,0.0002563903148500279,0.0006593153649031411
14493.741704614658,0.0004262827421899721,0.00026680766410360466,0.0006914638580377007
14575.53000564454,0.0004453408358195597,0.0002777242154603774,0.0007255049725324553
14657.779838715054,0.0004654170648772834,0.00028916809984026563,0.0007615715685463611
14740.493808255222,0.0004865758912440187,0.0003011692913580652,0.000799807441014352
14823.674533390873,0.0005088865435882465,0.00031375974585550804,0.0008403683579948106
14907.324648027588,0.0005324234228917358,0.0003269735512266246,0.0008834232112422483
14991.446800934098,0.0005572665471424601,0.0003408470906613166,0.0009291552926569805
15076.043655826155,0.0005835020394421152,0.0003554192200511802,0.000977763712115525
15161.117891450884,0.0006112226642879623,0.0003707314609346573,0.0010294649743153804
15246.672201671598,0.0006405284173693569,0.0003868282105072994,0.0010844947347216968
15332.709295553104,0.0006715271748781351,0.0004037569703893426,0.00114310975753528
15419.231897447486,0.0007043354090805734,0.00042156859602919376,0.0012055901018753197
15506.242747080363,0.0007390789777504064,0.0004403175688304988,0.0012722415661624684
15593.744599637652,0.0007758939960328239,0.00046006229332514246,0.0013433984250881862
15681.740225852805,0.0008149278004168562,0.0004808654219783483,0.001419426498672517
15770.232412094547,0.0008563400157591014,0.0005027942105088725,0.0015007265988724499
15859.2239604551,0.0009003037377503,0.0005259209069417304,0.0015877384061603924
15948.717688838919,0.0009470068448767863,0.0005503231779881236,0.0016809448366306827
16038.716431051915,0.0009966534558354283,0.0005760845767732537,0.001780876969732522
16129.223036891188,0.0010494655505534104,0.000603295056414487,0.0018881196179367375
16220.240372235265,0.0011056847754902525,0.0006320515344978113,0.0020033176328426746
16311.771319134852,0.0011655744568145087,0.0006624585141189264,0.00212718305781064
16403.81877590409,0.001229421848417539,0.0006946287678574541,0.0022605032556377784
16496.385657212322,0.001297540645629569,0.0007286840918508916,0.002404150161658184
16589.474894176405,0.0013702738000318205,0.0007647561380436258,0.0025590908386466625
16683.089434453508,0.0014479966760228432,0.0008029873337222846,0.002726399540903364
16777.23224233445,0.001531120595929339,0.0008435318986315447,0.002907271531956625
16871.906298837566,0.0016200968276087904,0.0008865569713170846,0.0031030389447537737
16967.11460180311,0.0017154210768618933,0.0009322438578913704,0.003315189026635994
17062.860165988164,0.001817638556783833,0.000980789418194831,0.0035453851758282685
17159.146023162113,0.0019273497177078897,0.0010324076063664474,0.0037954912541279745
17255.975222202636,0.002045216734962274,0.0010873311851871093,0.004067599755085687
17353.35082919226,0.0021719708676710887,0.001145813636267503,0.004364064522180935
17451.275927515435,0.00230842082076749,0.0012081312912798692,0.004687538852271295
17549.75361795618,0.002455462264841791,0.001274585713051234,0.00504101999222321
17648.787018796258,0.002614088695140846,0.0013455063595291838,0.005427901249105361
17748.37926591392,0.002785403842849883,0.001421253568500779,0.005852033196836757
17848.533512883212,0.00297063588980998,0.0015022219066103118,0.006317795787799714
17949.252931073814,0.0031711537833900806,0.0015888439328258432,0.006830183583480695
18050.540709751473,0.00338848600299615,0.0016815944342187523,0.0073949068254571424
18152.400056178987,0.0036243421957139754,0.0017809952009509526,0.008018511705303879
18254.834195717773,0.0038806381784004967,0.0018876204179575351,0.008708523996205898
18357.846371929976,0.004159524900355033,0.0020021027632672827,0.009473621228759603
18461.439846681198,0.004463422078520878,0.0021251403175796056,0.010323839892644722
18565.617900243768,0.0047950573610309475,0.0022575044070512946,0.011270825809468189
18670.38383140062,0.005157512051192841,0.0024000485217710935,0.012328137963333445
18775.74095754975,0.005554274640797176,0.0025537184767621683,0.01351161884628355
18881.692614809257,0.00598930366923872,0.0027195640113437296,0.014839847980052593
18988.242158122976,0.006467101756559827,0.0028987520572748018,0.016334699990104184
19095.39296136672,0.006992803071128374,0.003092581947489682,0.018022034808748096
19203.148417455115,0.007572277008165306,0.003302502886891044,0.019932555784416703
19311.511938449024,0.008212251502184341,0.003530134066418689,0.02210288237654644
19420.4869556636,0.00892046021168902,0.003777287873728808,0.024576898683397606
19530.076919776937,0.009705818846796352,0.004045996741129584,0.02740745860410041
19640.28530093933,0.010578637223841343,0.0043385442774655295,0.030658554779366912
19751.115588883164,0.011550875310205922,0.004657501459873454,0.03440809402729434
19862.571293033405,0.012636453680370557,0.005005768819357725,0.03875147003261758
19974.65594261874,0.013851631591315222,0.005386625748055482,0.04380618871740181
20087.37308678332,0.01521546950460074,0.0058037882949145145,0.049717887991293654
